"Standard Report - Imports"
"Current date: 09/30/2018 8:46 PM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"72 Iron And Steel","China","2015","1,868,169,290"
"72 Iron And Steel","China","January 2015","193,186,364"
"72 Iron And Steel","China","February 2015","221,146,618"
"72 Iron And Steel","China","March 2015","206,837,366"
"72 Iron And Steel","China","April 2015","241,207,522"
"72 Iron And Steel","China","May 2015","230,942,120"
"72 Iron And Steel","China","June 2015","151,162,420"
"72 Iron And Steel","China","July 2015","188,461,564"
"72 Iron And Steel","China","August 2015","117,883,596"
"72 Iron And Steel","China","September 2015","105,466,238"
"72 Iron And Steel","China","October 2015","62,679,975"
"72 Iron And Steel","China","November 2015","64,826,946"
"72 Iron And Steel","China","December 2015","84,368,561"
"72 Iron And Steel","China","2016","629,699,350"
"72 Iron And Steel","China","January 2016","65,850,967"
"72 Iron And Steel","China","February 2016","57,501,765"
"72 Iron And Steel","China","March 2016","57,925,189"
"72 Iron And Steel","China","April 2016","60,052,498"
"72 Iron And Steel","China","May 2016","54,144,308"
"72 Iron And Steel","China","June 2016","47,810,148"
"72 Iron And Steel","China","July 2016","52,135,661"
"72 Iron And Steel","China","August 2016","52,002,303"
"72 Iron And Steel","China","September 2016","42,269,817"
"72 Iron And Steel","China","October 2016","45,982,257"
"72 Iron And Steel","China","November 2016","46,311,921"
"72 Iron And Steel","China","December 2016","47,712,516"
"72 Iron And Steel","China","2017","635,197,415"
"72 Iron And Steel","China","January 2017","46,388,510"
"72 Iron And Steel","China","February 2017","44,713,052"
"72 Iron And Steel","China","March 2017","41,517,046"
"72 Iron And Steel","China","April 2017","48,144,716"
"72 Iron And Steel","China","May 2017","66,351,854"
"72 Iron And Steel","China","June 2017","60,221,646"
"72 Iron And Steel","China","July 2017","69,234,561"
"72 Iron And Steel","China","August 2017","61,032,855"
"72 Iron And Steel","China","September 2017","42,867,664"
"72 Iron And Steel","China","October 2017","50,344,686"
"72 Iron And Steel","China","November 2017","53,793,803"
"72 Iron And Steel","China","December 2017","50,587,022"
"72 Iron And Steel","China","2018 through July","383,976,327"
"72 Iron And Steel","China","January 2018","57,831,674"
"72 Iron And Steel","China","February 2018","55,381,702"
"72 Iron And Steel","China","March 2018","55,408,439"
"72 Iron And Steel","China","April 2018","47,416,718"
"72 Iron And Steel","China","May 2018","59,354,526"
"72 Iron And Steel","China","June 2018","57,907,496"
"72 Iron And Steel","China","July 2018","50,675,772"
"73 Articles Of Iron Or Steel","China","2015","10,469,906,498"
"73 Articles Of Iron Or Steel","China","January 2015","928,122,929"
"73 Articles Of Iron Or Steel","China","February 2015","771,242,675"
"73 Articles Of Iron Or Steel","China","March 2015","1,056,835,866"
"73 Articles Of Iron Or Steel","China","April 2015","919,838,110"
"73 Articles Of Iron Or Steel","China","May 2015","989,652,455"
"73 Articles Of Iron Or Steel","China","June 2015","928,691,573"
"73 Articles Of Iron Or Steel","China","July 2015","870,484,537"
"73 Articles Of Iron Or Steel","China","August 2015","870,910,933"
"73 Articles Of Iron Or Steel","China","September 2015","822,360,889"
"73 Articles Of Iron Or Steel","China","October 2015","758,242,925"
"73 Articles Of Iron Or Steel","China","November 2015","738,042,169"
"73 Articles Of Iron Or Steel","China","December 2015","815,481,437"
"73 Articles Of Iron Or Steel","China","2016","10,495,078,024"
"73 Articles Of Iron Or Steel","China","January 2016","908,794,390"
"73 Articles Of Iron Or Steel","China","February 2016","957,210,549"
"73 Articles Of Iron Or Steel","China","March 2016","689,902,990"
"73 Articles Of Iron Or Steel","China","April 2016","858,023,685"
"73 Articles Of Iron Or Steel","China","May 2016","943,868,880"
"73 Articles Of Iron Or Steel","China","June 2016","852,254,359"
"73 Articles Of Iron Or Steel","China","July 2016","858,139,013"
"73 Articles Of Iron Or Steel","China","August 2016","934,306,473"
"73 Articles Of Iron Or Steel","China","September 2016","879,252,789"
"73 Articles Of Iron Or Steel","China","October 2016","856,323,269"
"73 Articles Of Iron Or Steel","China","November 2016","885,811,002"
"73 Articles Of Iron Or Steel","China","December 2016","871,190,625"
"73 Articles Of Iron Or Steel","China","2017","11,555,363,393"
"73 Articles Of Iron Or Steel","China","January 2017","999,267,165"
"73 Articles Of Iron Or Steel","China","February 2017","941,153,779"
"73 Articles Of Iron Or Steel","China","March 2017","828,236,299"
"73 Articles Of Iron Or Steel","China","April 2017","982,989,299"
"73 Articles Of Iron Or Steel","China","May 2017","1,086,007,860"
"73 Articles Of Iron Or Steel","China","June 2017","1,003,040,745"
"73 Articles Of Iron Or Steel","China","July 2017","1,028,828,897"
"73 Articles Of Iron Or Steel","China","August 2017","978,918,396"
"73 Articles Of Iron Or Steel","China","September 2017","891,556,366"
"73 Articles Of Iron Or Steel","China","October 2017","906,189,364"
"73 Articles Of Iron Or Steel","China","November 2017","886,154,388"
"73 Articles Of Iron Or Steel","China","December 2017","1,023,020,835"
"73 Articles Of Iron Or Steel","China","2018 through July","7,528,264,112"
"73 Articles Of Iron Or Steel","China","January 2018","1,129,286,492"
"73 Articles Of Iron Or Steel","China","February 2018","1,109,411,309"
"73 Articles Of Iron Or Steel","China","March 2018","946,195,508"
"73 Articles Of Iron Or Steel","China","April 2018","943,159,730"
"73 Articles Of Iron Or Steel","China","May 2018","1,147,887,243"
"73 Articles Of Iron Or Steel","China","June 2018","1,127,378,113"
"73 Articles Of Iron Or Steel","China","July 2018","1,124,945,717"
"74 Copper And Articles Thereof","China","2015","534,033,702"
"74 Copper And Articles Thereof","China","January 2015","52,612,772"
"74 Copper And Articles Thereof","China","February 2015","36,506,269"
"74 Copper And Articles Thereof","China","March 2015","50,224,106"
"74 Copper And Articles Thereof","China","April 2015","42,006,536"
"74 Copper And Articles Thereof","China","May 2015","49,312,456"
"74 Copper And Articles Thereof","China","June 2015","48,025,435"
"74 Copper And Articles Thereof","China","July 2015","49,773,516"
"74 Copper And Articles Thereof","China","August 2015","44,544,576"
"74 Copper And Articles Thereof","China","September 2015","43,637,732"
"74 Copper And Articles Thereof","China","October 2015","41,278,998"
"74 Copper And Articles Thereof","China","November 2015","35,849,671"
"74 Copper And Articles Thereof","China","December 2015","40,261,635"
"74 Copper And Articles Thereof","China","2016","504,104,169"
"74 Copper And Articles Thereof","China","January 2016","48,589,505"
"74 Copper And Articles Thereof","China","February 2016","45,147,078"
"74 Copper And Articles Thereof","China","March 2016","27,520,799"
"74 Copper And Articles Thereof","China","April 2016","35,465,997"
"74 Copper And Articles Thereof","China","May 2016","44,260,645"
"74 Copper And Articles Thereof","China","June 2016","44,864,216"
"74 Copper And Articles Thereof","China","July 2016","44,465,258"
"74 Copper And Articles Thereof","China","August 2016","48,464,079"
"74 Copper And Articles Thereof","China","September 2016","39,724,654"
"74 Copper And Articles Thereof","China","October 2016","39,714,096"
"74 Copper And Articles Thereof","China","November 2016","42,623,916"
"74 Copper And Articles Thereof","China","December 2016","43,263,926"
"74 Copper And Articles Thereof","China","2017","536,709,908"
"74 Copper And Articles Thereof","China","January 2017","50,967,794"
"74 Copper And Articles Thereof","China","February 2017","41,914,835"
"74 Copper And Articles Thereof","China","March 2017","31,503,958"
"74 Copper And Articles Thereof","China","April 2017","43,253,131"
"74 Copper And Articles Thereof","China","May 2017","51,452,808"
"74 Copper And Articles Thereof","China","June 2017","45,335,271"
"74 Copper And Articles Thereof","China","July 2017","50,080,375"
"74 Copper And Articles Thereof","China","August 2017","48,540,843"
"74 Copper And Articles Thereof","China","September 2017","43,086,624"
"74 Copper And Articles Thereof","China","October 2017","42,803,535"
"74 Copper And Articles Thereof","China","November 2017","39,994,290"
"74 Copper And Articles Thereof","China","December 2017","47,776,444"
"74 Copper And Articles Thereof","China","2018 through July","356,737,084"
"74 Copper And Articles Thereof","China","January 2018","52,676,518"
"74 Copper And Articles Thereof","China","February 2018","48,803,097"
"74 Copper And Articles Thereof","China","March 2018","46,986,038"
"74 Copper And Articles Thereof","China","April 2018","38,706,148"
"74 Copper And Articles Thereof","China","May 2018","53,501,205"
"74 Copper And Articles Thereof","China","June 2018","58,023,550"
"74 Copper And Articles Thereof","China","July 2018","58,040,528"
"75 Nickel And Articles Thereof","China","2015","43,639,967"
"75 Nickel And Articles Thereof","China","January 2015","3,354,205"
